Date,Open,High,Low,Close,Volume,Max_Up_5d,Max_Down_5d,Time_To_Max_Up_5d,Time_To_Max_Down_5d,Max_Up_10d,Max_Down_10d,Time_To_Max_Up_10d,Time_To_Max_Down_10d,Max_Up_15d,Max_Down_15d,Time_To_Max_Up_15d,Time_To_Max_Down_15d,Max_Up_20d,Max_Down_20d,Time_To_Max_Up_20d,Time_To_Max_Down_20d,Max_Up_30d,Max_Down_30d,Time_To_Max_Up_30d,Time_To_Max_Down_30d,Label_1.0pct_5d,Label_1.0pct_10d,Label_1.0pct_15d,Label_1.0pct_20d,Label_1.0pct_30d,Label_2.0pct_5d,Label_2.0pct_10d,Label_2.0pct_15d,Label_2.0pct_20d,Label_2.0pct_30d,Label_3.0pct_5d,Label_3.0pct_10d,Label_3.0pct_15d,Label_3.0pct_20d,Label_3.0pct_30d,Label_5.0pct_5d,Label_5.0pct_10d,Label_5.0pct_15d,Label_5.0pct_20d,Label_5.0pct_30d,Label_10.0pct_5d,Label_10.0pct_10d,Label_10.0pct_15d,Label_10.0pct_20d,Label_10.0pct_30d
2010-06-29,1.27,1.67,1.17,1.59,281494500,27.67295597484275,33.33333333333333,1.0,7.0,27.67295597484275,37.106918238993714,1.0,8.0,27.67295597484275,37.106918238993714,1.0,8.0,27.67295597484275,37.106918238993714,1.0,8.0,27.67295597484275,37.106918238993714,1.0,8.0,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP
2010-06-30,1.72,2.03,1.55,1.59,257806500,8.805031446540875,37.106918238993714,1.0,7.0,8.805031446540875,37.106918238993714,1.0,7.0,8.805031446540875,37.106918238993714,1.0,7.0,8.805031446540875,37.106918238993714,1.0,7.0,8.805031446540875,37.106918238993714,1.0,7.0,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN
2010-07-01,1.67,1.73,1.35,1.46,123282000,5.479452054794526,31.506849315068493,1.0,6.0,5.479452054794526,31.506849315068493,1.0,6.0,5.479452054794526,31.506849315068493,1.0,6.0,5.479452054794526,31.506849315068493,1.0,6.0,5.479452054794526,31.506849315068493,1.0,6.0,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN
2010-07-02,1.53,1.54,1.25,1.28,77097000,3.9062500000000036,21.875000000000004,4.0,5.0,11.718749999999993,21.875000000000004,13.0,5.0,15.624999999999996,21.875000000000004,17.0,5.0,15.624999999999996,21.875000000000004,17.0,5.0,15.624999999999996,21.875000000000004,17.0,5.0,STRONG_UP,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN
2010-07-06,1.33,1.33,1.06,1.07,103003500,12.149532710280363,6.54205607476636,6.0,1.0,38.31775700934578,6.54205607476636,13.0,1.0,38.31775700934578,6.54205607476636,13.0,1.0,38.31775700934578,6.54205607476636,13.0,1.0,38.31775700934578,6.54205607476636,13.0,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP
2010-07-07,1.09,1.11,1.0,1.05,103825500,18.095238095238088,0.9523809523809532,6.0,1.0,40.95238095238095,0.9523809523809532,12.0,1.0,40.95238095238095,0.9523809523809532,12.0,1.0,40.95238095238095,0.9523809523809532,12.0,1.0,40.95238095238095,0.9523809523809532,12.0,1.0,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP
2010-07-08,1.08,1.17,1.04,1.16,115671000,15.51724137931036,5.172413793103434,6.0,1.0,27.58620689655173,5.172413793103434,11.0,1.0,27.58620689655173,5.172413793103434,11.0,1.0,27.58620689655173,5.172413793103434,11.0,1.0,27.58620689655173,5.172413793103434,11.0,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP
2010-07-09,1.17,1.19,1.1,1.16,60759000,23.27586206896552,2.5862068965517264,6.0,3.0,27.58620689655173,2.5862068965517264,10.0,3.0,27.58620689655173,2.5862068965517264,10.0,3.0,27.58620689655173,2.5862068965517264,10.0,3.0,27.58620689655173,2.5862068965517264,10.0,3.0,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP
2010-07-12,1.2,1.2,1.13,1.14,33037500,25.438596491228076,0.8771929824561412,3.0,1.0,29.82456140350878,0.8771929824561412,7.0,1.0,29.82456140350878,0.8771929824561412,7.0,1.0,29.82456140350878,0.8771929824561412,7.0,1.0,29.82456140350878,0.8771929824561412,7.0,1.0,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP
2010-07-13,1.16,1.24,1.13,1.21,40201500,22.314049586776864,2.4793388429752086,6.0,1.0,22.314049586776864,2.4793388429752086,6.0,1.0,22.314049586776864,2.4793388429752086,6.0,1.0,22.314049586776864,2.4793388429752086,6.0,1.0,22.314049586776864,4.132231404958682,6.0,30.0,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP,STRONG_UP
